filepath,xmin,xmax,ymin,ymax
./images\N1.xml,1093,1396,645,727
./images\N100.xml,134,301,312,350
./images\N101.xml,31,139,128,161
./images\N102.xml,164,316,216,243
./images\N103.xml,813,1067,665,724
./images\N104.xml,66,154,166,197
./images\N105.xml,360,434,174,195
./images\N106.xml,137,262,249,290
./images\N107.xml,207,356,174,287
./images\N108.xml,184,342,220,257
./images\N109.xml,148,239,250,320
./images\N11.xml,131,187,130,144
./images\N110.xml,183,249,211,227
./images\N111.xml,80,239,364,402
./images\N112.xml,179,347,256,290
./images\N113.xml,39,108,129,157
./images\N114.xml,15,200,33,126
./images\N116.xml,157,316,226,278
./images\N117.xml,120,249,161,202
./images\N118.xml,532,852,636,706
./images\N119.xml,180,559,216,314
./images\N12.xml,976,1284,669,754
./images\N120.xml,647,736,332,387
./images\N121.xml,311,506,324,370
./images\N122.xml,342,494,243,288
./images\N123.xml,11,246,78,165
./images\N124.xml,165,328,276,324
./images\N126.xml,149,399,269,327
./images\N127.xml,24,142,209,245
./images\N128.xml,58,221,198,271
./images\N129.xml,301,504,351,402
./images\N130.xml,419,513,173,213
./images\N131.xml,198,349,107,143
./images\N132.xml,111,320,133,286
./images\N133.xml,795,1095,751,840
./images\N134.xml,230,365,188,219
./images\N135.xml,157,341,197,247
./images\N136.xml,787,910,473,513
./images\N137.xml,401,593,456,493
./images\N138.xml,36,465,64,168
./images\N139.xml,341,607,954,1011
./images\N14.xml,1058,1351,660,756
./images\N140.xml,346,423,197,221
./images\N141.xml,150,348,255,296
./images\N142.xml,66,174,234,259
./images\N143.xml,115,524,144,296
./images\N144.xml,39,177,201,275
./images\N145.xml,233,432,88,151
./images\N147.xml,424,613,548,591
./images\N148.xml,244,369,240,293
./images\N149.xml,186,324,116,148
./images\N15.xml,582,853,622,691
./images\N150.xml,172,372,97,143
./images\N151.xml,144,277,216,252
./images\N152.xml,265,725,247,347
./images\N153.xml,133,279,352,385
./images\N154.xml,106,245,157,196
./images\N155.xml,145,313,167,201
./images\N156.xml,49,106,230,249
./images\N158.xml,122,224,268,292
./images\N16.xml,887,1173,625,696
./images\N160.xml,153,251,196,217
./images\N162.xml,147,336,169,209
./images\N163.xml,230,316,203,231
./images\N164.xml,248,421,121,174
